Country,Time,GDP Growth
Spain,2010,0.163010231
Spain,2011,-0.814373455
Spain,2012,-2.959441302
Spain,2013,-1.435394259
Spain,2014,1.383907943
Spain,2015,3.83517266
Spain,2016,3.03130133
Spain,2017,2.973641191
Spain,2018,2.288785676
Spain,2019,2.085191421
Sweden,2000,4.766348871
Sweden,2001,1.449498618
Sweden,2002,2.196921062
Sweden,2003,2.30981059
Sweden,2004,4.336856154
Sweden,2005,2.85880324
Sweden,2006,4.662773552
Sweden,2007,3.439221776
Sweden,2008,-0.450559257
Sweden,2009,-4.339790575
Sweden,2010,5.952107008
Sweden,2011,3.195333235
Sweden,2012,-0.588304569
Sweden,2013,1.187775716
Sweden,2014,2.657798275
Sweden,2015,4.489281588
Sweden,2016,2.070593151
Sweden,2017,2.567924525
Sweden,2018,1.950022846
Sweden,2019,1.986195874
Switzerland,2000,3.976409234
Switzerland,2001,1.575817262
Switzerland,2002,-0.005506463
Switzerland,2003,-0.046846373
Switzerland,2004,2.821528115
Switzerland,2005,2.882638434
Switzerland,2006,4.015007608
Switzerland,2007,3.995722246
Switzerland,2008,2.755511436
Switzerland,2009,-2.07963322
Switzerland,2010,3.268101656
Switzerland,2011,1.920445985
Switzerland,2012,1.217193657
Switzerland,2013,1.821667791
Switzerland,2014,2.446845157
Switzerland,2015,1.657768711
Switzerland,2016,2.045186469
Switzerland,2017,1.584819616
Switzerland,2018,2.916905098
Switzerland,2019,1.210992207
Ukraine,2000,5.9
Ukraine,2001,8.8
Ukraine,2002,5.339647212
Ukraine,2003,9.516609863
Ukraine,2004,11.79535253
Ukraine,2005,3.071230394
Ukraine,2006,7.571420762
Ukraine,2007,8.215844451
Ukraine,2008,2.243491598
Ukraine,2009,-15.13646791
Ukraine,2010,4.092004367
Ukraine,2011,5.445280813
Ukraine,2012,0.152314965
Ukraine,2013,0.045439094
Ukraine,2014,-10.07889498
Ukraine,2015,-9.772987211
Ukraine,2016,2.440981945
Ukraine,2017,2.359972281
Ukraine,2018,3.488362342
Ukraine,2019,3.199503862
United Kingdom,2000,3.672369105
United Kingdom,2001,2.072656279
