date,cntas,country,asset,Year
11/07/2007,79980,Bank of England,103974,2007
04/07/2007,99411,Bank of England,129234,2007
27/06/2007,79737,Bank of England,103658,2007
20/06/2007,81026,Bank of England,105334,2007
13/06/2007,80543,Bank of England,104706,2007
06/06/2007,80537,Bank of England,104698,2007
30/05/2007,81865,Bank of England,106425,2007
23/05/2007,79015,Bank of England,102720,2007
16/05/2007,81369,Bank of England,105780,2007
09/05/2007,79949,Bank of England,103934,2007
02/05/2007,79416,Bank of England,103241,2007
25/04/2007,79550,Bank of England,103415,2007
18/04/2007,81088,Bank of England,105414,2007
11/04/2007,80479,Bank of England,104623,2007
04/04/2007,80386,Bank of England,104502,2007
28/03/2007,79633,Bank of England,103523,2007
21/03/2007,79539,Bank of England,103401,2007
14/03/2007,80763,Bank of England,104992,2007
07/03/2007,77747,Bank of England,101071,2007
28/02/2007,77638,Bank of England,100929,2007
21/02/2007,76991,Bank of England,100088,2007
14/02/2007,77075,Bank of England,100198,2007
07/02/2007,77808,Bank of England,101150,2007
31/01/2007,78257,Bank of England,101734,2007
24/01/2007,79313,Bank of England,103107,2007
17/01/2007,79839,Bank of England,103791,2007
10/01/2007,82957,Bank of England,107844,2007
03/01/2007,85214,Bank of England,110778,2007
27/12/2006,85593,Bank of England,111271,2006
20/12/2006,84831,Bank of England,110280,2006
13/12/2006,83548,Bank of England,108612,2006
06/12/2006,82346,Bank of England,107050,2006
29/11/2006,80280,Bank of England,104364,2006
22/11/2006,78729,Bank of England,102348,2006
15/11/2006,80371,Bank of England,104482,2006
08/11/2006,80110,Bank of England,104143,2006
01/11/2006,80264,Bank of England,104343,2006
25/10/2006,78791,Bank of England,102428,2006
18/10/2006,78184,Bank of England,101639,2006
11/10/2006,79049,Bank of England,102764,2006
04/10/2006,84488,Bank of England,109834,2006
27/09/2006,79942,Bank of England,103925,2006
20/09/2006,79593,Bank of England,103471,2006
13/09/2006,79514,Bank of England,103368,2006
06/09/2006,80898,Bank of England,105167,2006
30/08/2006,81867,Bank of England,106427,2006
23/08/2006,80860,Bank of England,105118,2006
16/08/2006,79513,Bank of England,103367,2006
09/08/2006,80059,Bank of England,104077,2006
02/08/2006,81526,Bank of England,105984,2006
26/07/2006,80985,Bank of England,105281,2006
19/07/2006,79883,Bank of England,103848,2006
12/07/2006,82409,Bank of England,107132,2006
05/07/2006,83016,Bank of England,107921,2006
28/06/2006,82185,Bank of England,106841,2006
21/06/2006,82156,Bank of England,106803,2006
14/06/2006,82549,Bank of England,107314,2006
07/06/2006,87482,Bank of England,113727,2006
31/05/2006,87174,Bank of England,113326,2006
24/05/2006,86417,Bank of England,112342,2006
01/04/2006,1222021,Bank of Japan,989837,2006
01/07/2006,1155623,Bank of Japan,936055,2006
01/10/2006,1164281,Bank of Japan,943068,2006
01/01/2007,1150193,Bank of Japan,931656,2007
01/04/2007,1045290,Bank of Japan,846685,2007
01/07/2007,1098471,Bank of Japan,889762,2007
01/10/2007,1100418,Bank of Japan,891339,2007
01/01/2008,1135781,Bank of Japan,919983,2008
01/04/2008,1062566,Bank of Japan,860678,2008
01/07/2008,1102603,Bank of Japan,893108,2008
01/10/2008,1203666,Bank of Japan,974969,2008
01/01/2009,1218584,Bank of Japan,987053,2009
01/04/2009,1144795,Bank of Japan,927284,2009
01/07/2009,1160813,Bank of Japan,940259,2009
01/10/2009,1170767,Bank of Japan,948321,2009
01/01/2010,1236753,Bank of Japan,1001770,2010
01/04/2010,1161312,Bank of Japan,940663,2010
01/07/2010,1202491,Bank of Japan,974018,2010
01/10/2010,1257244,Bank of Japan,1018368,2010
01/01/2011,1334936,Bank of Japan,1081298,2011
01/04/2011,1331086,Bank of Japan,1078180,2011
01/07/2011,1378819,Bank of Japan,1116843,2011
01/10/2011,1397378,Bank of Japan,1131876,2011
01/01/2012,1402025,Bank of Japan,1135640,2012
01/04/2012,1425446,Bank of Japan,1154611,2012
01/07/2012,1484611,Bank of Japan,1202535,2012
01/10/2012,1561507,Bank of Japan,1264821,2012
01/01/2013,1627118,Bank of Japan,1317966,2013
01/04/2013,1820153,Bank of Japan,1474324,2013
01/07/2013,2037708,Bank of Japan,1650543,2013
01/10/2013,2212642,Bank of Japan,1792240,2013
01/01/2014,2380693,Bank of Japan,1928361,2014
01/04/2014,2526369,Bank of Japan,2046359,2014
01/07/2014,2739875,Bank of Japan,2219299,2014
01/10/2014,2948081,Bank of Japan,2387946,2014
01/01/2015,3184029,Bank of Japan,2579063,2015
01/04/2015,3404661,Bank of Japan,2757775,2015
01/07/2015,3606270,Bank of Japan,2921079,2015
01/10/2015,3793052,Bank of Japan,3072372,2015
01/01/2016,4019629,Bank of Japan,3255899,2016
01/04/2016,4242815,Bank of Japan,3436680,2016
01/07/2016,4509569,Bank of Japan,3652751,2016
01/10/2016,4703404,Bank of Japan,3809757,2016
01/01/2017,4866574,Bank of Japan,3941925,2017
01/04/2017,5002185,Bank of Japan,4051770,2017
01/07/2017,5101962,Bank of Japan,4132589,2017
01/10/2017,5204407,Bank of Japan,4215570,2017
01/01/2018,5293895,Bank of Japan,4288055,2018
01/04/2018,5376238,Bank of Japan,4354753,2018
01/07/2018,5476362,Bank of Japan,4435853,2018
01/10/2018,5531302,Bank of Japan,4480355,2018
01/01/2019,5586228,Bank of Japan,4524845,2019
01/04/2019,5646862,Bank of Japan,4573958,2019
01/07/2019,5702787,Bank of Japan,4619257,2019
01/10/2019,5757518,Bank of Japan,4663590,2019
01/01/2020,5892469,Bank of Japan,4772900,2020
01/04/2020,6355230,Bank of Japan,5147736,2020
01/07/2020,6796037,Bank of Japan,5504790,2020
01/10/2020,7020393,Bank of Japan,5686518,2020
01/04/2006,1084645,European Central Bank,1193110,2006
01/07/2006,1112507,European Central Bank,1223757,2006
01/10/2006,1126253,European Central Bank,1238878,2006
01/01/2007,1142673,European Central Bank,1256941,2007
01/04/2007,1176104,European Central Bank,1293715,2007
01/07/2007,1212549,European Central Bank,1333804,2007
01/10/2007,1308095,European Central Bank,1438904,2007
01/01/2008,1341422,European Central Bank,1475564,2008
01/04/2008,1415137,European Central Bank,1556651,2008
01/07/2008,1449515,European Central Bank,1594467,2008
01/10/2008,1973129,European Central Bank,2170442,2008
01/01/2009,1907250,European Central Bank,2097975,2009
01/04/2009,1801130,European Central Bank,1981243,2009
01/07/2009,1835442,European Central Bank,2018987,2009
01/10/2009,1789735,European Central Bank,1968709,2009
01/01/2010,1883371,European Central Bank,2071708,2010
01/04/2010,2031422,European Central Bank,2234565,2010
01/07/2010,1980547,European Central Bank,2178602,2010
01/10/2010,1907551,European Central Bank,2098306,2010
01/01/2011,1957743,European Central Bank,2153517,2011
01/04/2011,1900299,European Central Bank,2090328,2011
01/07/2011,2058304,European Central Bank,2264135,2011
01/10/2011,2430562,European Central Bank,2673618,2011
01/01/2012,2799224,European Central Bank,3079146,2012
